anime_id,name,genre,rating
30276,one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",8.82
164,mononoke hime,"Action, Adventure, Fantasy",8.81
7311,suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",8.81
17074,monogatari series: second season,"Comedy, Mystery, Romance, Supernatural, Vampire",8.8
21939,mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.8
457,mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.78
2001,tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",8.78
245,great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",8.77
32983,natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.76
5258,hajime no ippo: new challenger,"Comedy, Drama, Shounen, Sports",8.75
28957,mushishi zoku shou: suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.75
11665,natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.75
431,howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",8.74
11741,fate/zero 2nd season,"Action, Fantasy, Supernatural, Thriller",8.73
31757,kizumonogatari ii: nekketsu-hen,"Action, Mystery, Supernatural, Vampire",8.73
19,monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",8.72
12365,bakuman. 3rd season,"Comedy, Drama, Romance, Shounen",8.71
1535,death note,"Mystery, Police, Psychological, Supernatural, Thriller",8.71
32366,gintama°: aizome kaori-hen,"Comedy, Parody",8.69
30654,ansatsu kyoushitsu (tv) 2nd season,"Action, Comedy, School, Shounen",8.68
20583,haikyuu!!,"Comedy, Drama, School, Shounen, Sports",8.68
19647,hajime no ippo: rising,"Comedy, Drama, Shounen, Sports",8.68
4282,kara no kyoukai 5: mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",8.68
10379,natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.67
22135,ping pong the animation,"Psychological, Seinen, Sports",8.67
21329,mushishi special: hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.66
31043,boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",8.65
7785,yojouhan shinwa taikei,"Mystery, Psychological, Romance",8.65
3297,aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",8.64
30709,kamisama hajimemashita: kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",8.64
6114,rainbow: nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",8.64
31240,re:zero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",8.64
4565,tengen toppa gurren lagann movie: lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",8.64
5300,zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.64
9989,ano hi mita hana no namae wo bokutachi wa mada shiranai.,"Drama, Slice of Life, Supernatural",8.62
24415,kuroko no basket 3rd season,"Comedy, School, Shounen, Sports",8.62
11577,steins;gate movie: fuka ryouiki no déjà vu,"Sci-Fi, Thriller",8.61
10408,hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",8.61
28171,shokugeki no souma,"Ecchi, School, Shounen",8.61
32995,yuri!!! on ice,"Comedy, Sports",8.61
21899,gintama: yorinuki gintama-san on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.6
26055,jojo no kimyou na bouken: stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",8.6
7472,gintama movie: shinyaku benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.59
777,hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",8.59
22535,kiseijuu: sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",8.59
28735,shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",8.59
12431,uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",8.59
28805,bakemono no ko,"Adventure, Supernatural",8.58
578,hotaru no haka,"Drama, Historical",8.58
16894,kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",8.58
5028,major s5,"Comedy, Drama, Romance, Sports",8.58
21,one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",8.58
801,ghost in the shell: stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",8.57
31933,jojo no kimyou na bouken: diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",8.57
5205,kara no kyoukai 7: satsujin kousatsu (kou),"Action, Mystery, Romance, Supernatural, Thriller",8.57
17389,kingdom 2nd season,"Action, Historical, Military, Seinen",8.57
170,slam dunk,"Comedy, Drama, School, Shounen, Sports",8.56
10162,usagi drop,"Josei, Slice of Life",8.56
18617,girls und panzer der film,"Military, School",8.55
32182,mob psycho 100,"Action, Comedy, Slice of Life, Supernatural",8.55
877,nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",8.55
2251,baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",8.54
24687,mushishi zoku shou: odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.54
16498,shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",8.54
10030,bakuman. 2nd season,"Comedy, Drama, Romance, Shounen",8.53
5941,cross game,"Comedy, Drama, Romance, School, Sports",8.53
30346,doukyuusei (movie),"Romance, School, Shounen Ai, Slice of Life",8.53
3784,evangelion: 2.0 you can (not) advance,"Action, Mecha, Sci-Fi",8.53
13125,shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",8.53
12029,uchuu senkan yamato 2199,"Action, Drama, Military, Sci-Fi, Space",8.53
14397,chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",8.52
10087,fate/zero,"Action, Fantasy, Supernatural",8.51
14719,jojo no kimyou na bouken (tv),"Action, Adventure, Shounen, Supernatural, Vampire",8.51
9756,mahou shoujo madoka★magica,"Drama, Magic, Psychological, Thriller",8.51
10165,nichijou,"Comedy, School, Slice of Life",8.52
13601,psycho-pass,"Action, Police, Psychological, Sci-Fi",8.5
22789,barakamon,"Comedy, Slice of Life",8.5
30230,diamond no ace: second season,"Comedy, School, Shounen, Sports",8.5
18115,magi: the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",8.5
11981,mahou shoujo madoka★magica movie 3: hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",8.5
11917,major: world series,"Comedy, Drama, Sports",8.5
205,samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",8.5
32282,shokugeki no souma: ni no sara,"Ecchi, School, Shounen",8.5
6594,katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",8.49
11979,mahou shoujo madoka★magica movie 2: eien no monogatari,"Drama, Magic, Psychological, Thriller",8.49
7655,major s6,"Comedy, Drama, Sports",8.49
2246,mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",8.49
25835,shirobako,"Comedy, Drama",8.49
2921,ashita no joe 2,"Drama, Sports",8.48
136,hunter x hunter,"Action, Adventure, Shounen, Super Power",8.48
30503,noragami aragoto,"Action, Adventure, Shounen, Supernatural",8.48
12531,sakamichi no apollon,"Drama, Josei, Music, Romance, School",8.48
523,tonari no totoro,"Adventure, Comedy, Supernatural",8.48
467,ghost in the shell: stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",8.47
572,kaze no tani no nausicaä,"Adventure, Fantasy",8.47
19815,no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",8.47
2559,romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",8.47
392,yuu☆yuu☆hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",8.47
486,kino no tabi: the beautiful world,"Action, Adventure, Slice of Life",8.46
11771,kuroko no basket,"Comedy, School, Shounen, Sports",8.46
1698,nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",8.46
5341,ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",8.46
25781,shingeki no kyojin: kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",8.45
10863,steins;gate: oukoubakko no poriomania,"Sci-Fi, Thriller",8.46
28701,fate/stay night: unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",8.45
5420,kemono no souja erin,"Drama, Fantasy",8.45
9260,kizumonogatari i: tekketsu-hen,"Mystery, Supernatural, Vampire",8.45
32,neon genesis evangelion: the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",8.45
4224,toradora!,"Comedy, Romance, School, Slice of Life",8.45
2236,toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",8.44
2685,tsubasa: tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",8.44
31181,owarimonogatari,"Comedy, Mystery, Supernatural",8.43
45,rurouni kenshin: meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",8.43
2418,stranger: mukou hadan,"Action, Adventure, Historical, Samurai",8.43
1365,detective conan movie 06: the phantom of baker street,"Adventure, Mystery, Police, Shounen",8.42
22297,fate/stay night: unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",8.42
627,major s1,"Comedy, Drama, Shounen, Sports",8.42
10937,mobile suit gundam: the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",8.42
23755,nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",8.42
4081,natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.42
4155,one piece film: strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.42
1889,higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",8.41
137,hunter x hunter ova,"Action, Adventure, Shounen, Super Power",8.41
139,hunter x hunter: greed island final,"Action, Adventure, Shounen, Super Power",8.41
23317,kuroshitsuji: book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",8.41
558,major s2,"Comedy, Drama, Shounen, Sports",8.41
5040,one outs,"Psychological, Seinen, Sports",8.41
57,beck,"Comedy, Drama, Music, Shounen, Slice of Life",8.4
33,berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",8.4
5,cowboy bebop: tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",8.4
1842,major s3,"Drama, Shounen, Sports",8.4
6336,mobile suit gundam unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",8.4
20651,natsume yuujinchou: itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.4
1210,nhk ni youkoso!,"Comedy, Drama, Psychological, Romance",8.4
338,rose of versailles,"Adventure, Drama, Historical, Romance, Shoujo",8.4
13759,sakurasou no pet na kanojo,"Comedy, Drama, Romance, School, Slice of Life",8.4
6547,angel beats!,"Action, Comedy, Drama, School, Supernatural",8.39
5081,bakemonogatari,"Mystery, Romance, Supernatural, Vampire",8.39
32867,bungou stray dogs 2nd season,"Mystery, Seinen, Supernatural",8.39
264,hajime no ippo: champion road,"Comedy, Shounen, Sports",8.39
12859,one piece film: z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.39
853,ouran koukou host club,"Comedy, Harem, Romance, School, Shoujo",8.39
5460,detective conan movie 13: the raven chaser,"Action, Mystery, Police, Shounen",8.38
6746,durarara!!,"Action, Mystery, Supernatural",8.38
5690,nodame cantabile finale,"Comedy, Josei, Music, Romance",8.38
329,planetes,"Drama, Romance, Sci-Fi, Seinen, Space",8.38
34240,shelter,"Music, Sci-Fi",8.38
513,tenkuu no shiro laputa,"Adventure, Fantasy, Romance, Sci-Fi",8.38
6945,gintama: shiroyasha koutan,"Action, Comedy, Historical, Parody, Sci-Fi",8.37
1142,hachimitsu to clover ii,"Drama, Josei, Romance",8.37
6811,inuyasha: kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",8.37
16664,kaguya-hime no monogatari,"Fantasy, Historical",8.37
1604,katekyo hitman reborn!,"Action, Comedy, Shounen, Super Power",8.37
22145,kuroshitsuji: book of circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",8.37
2966,ookami to koushinryou,"Adventure, Fantasy, Historical, Romance",8.37
31964,boku no hero academia,"Action, Comedy, School, Shounen, Super Power",8.36
19363,gin no saji 2nd season,"Comedy, School, Shounen, Slice of Life",8.36
18195,little busters!: refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",8.36
9890,major: message,"Comedy, Drama, Sports",8.36
9130,saint seiya: the lost canvas - meiou shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",8.36
9863,sket dance,"Comedy, School, Shounen",8.36
7674,bakuman.,"Comedy, Romance, Shounen",8.35
11843,danshi koukousei no nichijou,"Comedy, School, Shounen, Slice of Life",8.35
16782,kotonoha no niwa,"Drama, Psychological, Romance, Slice of Life",8.35
28675,kyoukai no kanata movie: ill be here - mirai-hen,"Fantasy, Slice of Life, Supernatural",8.35
3226,major s4,"Comedy, Drama, Shounen, Sports",8.35
21557,omoide no marnie,"Drama, Mystery, Psychological",8.35
31715,working!!!: lord of the takanashi,"Comedy, Romance, Slice of Life",8.34
43,ghost in the shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",8.34
9617,k-on! movie,"Comedy, Music, Slice of Life",8.34
31051,kuroko no basket: saikou no present desu,"Action, School, Shounen, Sports",8.34
10153,mahou shoujo lyrical nanoha: the movie 2nd as,"Action, Comedy, Drama, Magic, Super Power",8.34
1033,sennen joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",8.34
32188,steins;gate: kyoukaimenjou no missing link - divide by zero,"Sci-Fi, Thriller",8.34
3091,xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",8.34
12115,berserk: ougon jidai-hen iii - kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",8.33
28223,death parade,"Drama, Game, Mystery, Psychological, Thriller",8.33
121,fullmetal alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",8.33
3002,gyakkyou burai kaiji: ultimate survivor,"Game, Psychological, Seinen, Thriller",8.33
138,hunter x hunter: greed island,"Action, Adventure, Shounen, Super Power",8.33
6675,redline,"Action, Cars, Sci-Fi, Sports",8.33
10800,chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",8.32
32005,detective conan movie 20: the darkest nightmare,"Action, Mystery, Police, Shounen",8.32
813,dragon ball z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",8.32
27821,fate/stay night: unlimited blade works - prologue,"Action, Fantasy, Magic, Shounen, Supernatural",8.32
28725,kokoro ga sakebitagatterunda.,"Drama, Romance, School",8.32
585,mimi wo sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",8.32
16067,nagi no asukara,"Drama, Fantasy, Romance",8.32
30,neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",8.32
31490,one piece film: gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.32
759,tokyo godfathers,"Comedy, Drama",8.32
6,trigun,"Action, Comedy, Sci-Fi",8.32
6864,xxxholic rou,"Mystery, Supernatural",8.32
9735,gintama: shinyaku benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.31
11977,mahou shoujo madoka★magica movie 1: hajimari no monogatari,"Drama, Magic, Psychological, Thriller",8.31
11123,sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",8.31
23847,yahari ore no seishun love comedy wa machigatteiru. zoku,"Comedy, Drama, Romance, School",8.31
33161,yahari ore no seishun love comedy wa machigatteiru. zoku ova,"Comedy, Romance, School",8.31
962,aria the natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",8.3
1519,black lagoon: the second barrage,"Action, Seinen",8.3
2167,clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",8.3
16706,kami nomi zo shiru sekai: megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",8.3
5681,summer wars,"Comedy, Sci-Fi",8.3
3901,baccano! specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",8.29
6467,detective conan movie 14: the lost ship in the sky,"Action, Mystery, Police, Shounen",8.29
10271,gyakkyou burai kaiji: hakairoku-hen,"Game, Psychological, Seinen, Thriller",8.29
22507,initial d final stage,"Cars, Seinen, Sports",8.29
3701,kaiba,"Adventure, Mystery, Romance, Sci-Fi",8.29
19123,one piece: episode of merry - mou hitori no nakama no monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",8.29
33255,saiki kusuo no ψ-nan (tv),"Comedy, School, Shounen, Supernatural",8.29
372,cardcaptor sakura movie 2: fuuin sareta card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",8.28
265,hajime no ippo: mashiba vs. kimura,"Comedy, Shounen, Sports",8.28
25681,kamisama hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",8.28
4722,skip beat!,"Comedy, Drama, Romance, Shoujo",8.28
24277,yowamushi pedal: grande road,"Comedy, Drama, Shounen, Sports",8.28
239,gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",8.27
512,majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",8.27
4477,nodame cantabile: paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",8.27
15323,one piece: episode of nami - koukaishi no namida to nakama no kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",8.27
31174,osomatsu-san,"Comedy, Parody",8.27
23327,space☆dandy 2nd season,"Comedy, Sci-Fi, Space",8.27
5365,tsumiki no ie,Drama,8.27
3702,detroit metal city,"Comedy, Music",8.26
3167,eve no jikan,"Sci-Fi, Slice of Life",8.26
7465,eve no jikan (movie),"Sci-Fi, Slice of Life",8.26
7054,kaichou wa maid-sama!,"Comedy, Romance, School, Shoujo",8.26
1257,saint seiya: meiou hades juuni kyuu-hen,"Adventure, Sci-Fi, Shounen",8.26
23283,zankyou no terror,"Psychological, Thriller",8.26
2025,darker than black: kuro no keiyakusha,"Action, Mystery, Sci-Fi, Super Power",8.25
235,detective conan,"Adventure, Comedy, Mystery, Police, Shounen",8.25
1364,detective conan movie 05: countdown to heaven,"Adventure, Comedy, Mystery, Police, Shounen",8.25
18689,diamond no ace,"Comedy, School, Shounen, Sports",8.25
22043,fairy tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",8.25
31988,hibike! euphonium 2,"Drama, Music, School",8.25
20899,jojo no kimyou na bouken: stardust crusaders,"Action, Adventure, Drama, Shounen, Supernatural",8.25
1453,maison ikkoku,"Comedy, Drama, Romance, Slice of Life",8.25
23623,non non biyori repeat,"Comedy, School, Seinen, Slice of Life",8.26
1559,shijou saikyou no deshi kenichi,"Action, Comedy, Martial Arts, School, Shounen",8.25
1382,yuusha-ou gaogaigar final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",8.25
23289,gekkan shoujo nozaki-kun,"Comedy, Romance, School",8.24
18,initial d fourth stage,"Action, Cars, Drama, Seinen, Sports",8.24
4814,junjou romantica 2,"Comedy, Drama, Romance, Shounen Ai",8.24
16662,kaze tachinu,"Drama, Historical, Romance",8.24
12031,kingdom,"Action, Historical, Military, Seinen",8.24
8129,kuragehime,"Comedy, Josei, Slice of Life",8.24
14513,magi: the labyrinth of magic,"Action, Adventure, Fantasy, Magic, Shounen",8.24
2581,mobile suit gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",8.24
30015,relife,"Romance, School, Slice of Life",8.24
6171,saint seiya: the lost canvas - meiou shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",8.24
1827,seirei no moribito,"Action, Adventure, Fantasy, Historical",8.24
25013,akatsuki no yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",8.23
1367,detective conan movie 08: magician of the silver sky,"Adventure, Comedy, Mystery, Police, Shounen",8.23
27833,durarara!!x2 ketsu,"Action, Mystery, Supernatural",8.23
26213,free!: eternal summer special,"Comedy, School, Slice of Life",8.23
1974,glass no kamen (2005),"Drama, Shoujo",8.23
8425,gosick,"Drama, Historical, Mystery, Romance",8.23
12069,hajime no ippo: boxer no kobushi,"Comedy, Drama, Shounen, Sports",8.23
185,initial d first stage,"Action, Cars, Drama, Seinen, Sports",8.23
18679,kill la kill,"Action, Comedy, School, Super Power",8.23
2034,lovely★complex,"Comedy, Romance, Shoujo",8.23
437,perfect blue,"Dementia, Drama, Horror, Psychological",8.23
721,princess tutu,"Comedy, Fantasy, Magic, Romance",8.23
12477,sakasama no patema,"Sci-Fi, Seinen",8.23
4938,tsubasa: shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",8.23
2402,ashita no joe,"Drama, Sports",8.22
6702,fairy tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",8.22
1566,ghost in the shell: stand alone complex - solid state society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",8.22
31741,magi: sinbad no bouken (tv),"Action, Adventure, Fantasy, Magic, Shounen",8.22
440,shoujo kakumei utena,"Drama, Fantasy, Psychological, Shoujo",8.22
4107,tengen toppa gurren lagann movie: gurren-hen,"Action, Comedy, Mecha",8.22
1506,detective conan movie 10: requiem of the detectives,"Adventure, Comedy, Mystery, Police, Shounen",8.21
2759,evangelion: 1.0 you are (not) alone,"Action, Mecha, Sci-Fi",8.21
72,full metal panic? fumoffu,"Action, Comedy, School",8.21
3016,ginga eiyuu densetsu: arata naru tatakai no overture,"Action, Drama, Military, Sci-Fi, Space",8.21
3783,kara no kyoukai 3: tsuukaku zanryuu,"Action, Drama, Mystery, Supernatural, Thriller",8.21
3927,mobile suit gundam 00 second season,"Action, Drama, Mecha, Military, Sci-Fi, Space",8.21
11597,nisemonogatari,"Comedy, Mystery, Supernatural",8.21
28025,tsukimonogatari,"Comedy, Mystery, Supernatural",8.21
24833,ansatsu kyoushitsu (tv),"Action, Comedy, School, Shounen",8.2
29893,aria the avvenire,"Fantasy, Sci-Fi, Shounen, Slice of Life",8.2
27663,baby steps 2nd season,"Romance, School, Shounen, Sports",8.2
1482,d.gray-man,"Action, Adventure, Comedy, Shounen",8.2
3371,"ginga eiyuu densetsu gaiden: senoku no hoshi, senoku no hikari","Action, Military, Sci-Fi, Space",8.2
25313,gintama: jump festa 2014 special,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.2
1430,lupin iii: cagliostro no shiro,"Adventure, Comedy, Shounen",8.2
33051,mobile suit gundam: iron-blooded orphans 2nd season,"Action, Drama, Mecha, Sci-Fi, Space",8.2
7720,ookiku furikabutte: natsu no taikai-hen,"Comedy, Sports",8.2
1914,saiunkoku monogatari 2nd season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",8.2
20371,sekaiichi hatsukoi movie: yokozawa takafumi no baai,"Comedy, Drama, Romance, Shounen Ai",8.2
15039,ano hi mita hana no namae wo bokutachi wa mada shiranai. movie,"Drama, Slice of Life, Supernatural",8.19
2164,dennou coil,"Adventure, Comedy, Drama, Mystery, Sci-Fi",8.19
237,eureka seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",8.19
2449,ghost in the shell: stand alone complex - the laughing man,"Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",8.19
10643,gintama: dai hanseikai,"Action, Comedy, Parody, Samurai",8.19
17739,hidamari sketch: sae hiro sotsugyou-hen,"Comedy, School, Slice of Life",8.19
135,hikaru no go,"Comedy, Game, Shounen, Supernatural",8.19
6045,kimi ni todoke,"Romance, School, Shoujo, Slice of Life",8.19
16001,kokoro connect: michi random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",8.19
6211,tokyo magnitude 8.0,Drama,8.19
232,cardcaptor sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",8.18
4789,ef: a tale of melodies.,"Drama, Mystery, Romance, Supernatural",8.18
16918,gin no saji,"Comedy, School, Shounen, Slice of Life",8.18
16,hachimitsu to clover,"Comedy, Drama, Josei, Romance",8.18
1486,kodomo no omocha (tv),"Comedy, Drama, Romance, Shoujo",8.18
24997,love live! the school idol movie,"Music, School, Slice of Life",8.18
32902,mahoutsukai no yome: hoshi matsu hito,"Fantasy, Magic",8.18
8063,sekaiichi hatsukoi ova,"Comedy, Drama, Romance, Shounen Ai",8.18
25879,working!!!,"Comedy, Romance, Slice of Life",8.18
889,black lagoon,"Action, Seinen",8.17
21419,detective conan movie 18: the sniper from another dimension,"Action, Mystery, Police, Shounen",8.17
2952,final fantasy vii: advent children complete,"Action, Fantasy, Super Power",8.17
934,higurashi no naku koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",8.17
12189,hyouka,"Mystery, School, Slice of Life",8.17
731,interstella5555: the 5tory of the 5ecret 5tar 5ystem,"Adventure, Drama, Music, Sci-Fi",8.17
1530,kanon (2006),"Drama, Romance, Slice of Life, Supernatural",8.17
9656,kimi ni todoke 2nd season,"Romance, School, Shoujo, Slice of Life",8.17
20507,noragami,"Action, Adventure, Shounen, Supernatural",8.17
31149,persona 3 the movie 4: winter of rebirth,"Action, Fantasy, Seinen, Supernatural",8.17
4918,xxxholic shunmuki,"Comedy, Drama, Mystery, Psychological, Supernatural",8.17
